item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
matrix_set1_md_mat54,matrix_set1_md_mat54,0.0000,0.2500,0.2150,1.692000,-2.339736,1.509628,1.402777,1.375946,0.2500,true,other,,BROKEN,
matrix_set1_md_mat70,matrix_set1_md_mat70,0.1670,0.2500,0.4380,0.644000,0.128341,1.509628,1.698414,1.624368,0.2500,true,other,,BROKEN,
matrix_set1_md_mat12,matrix_set1_md_mat12,0.1670,0.2500,0.1320,3.029000,-5.590475,1.509628,1.268379,1.219264,0.2500,true,other,,BROKEN,
matrix_set1_md_mat49,matrix_set1_md_mat49,0.1670,0.2500,0.4470,0.399000,0.294189,1.509628,1.609842,1.548795,0.2500,true,other,,BROKEN,
matrix_set1_md_mat16,matrix_set1_md_mat16,0.1670,0.2500,0.4210,1.957000,-1.533646,1.509628,1.528632,1.581394,0.2500,true,other,,BROKEN,
matrix_set1_md_mat18,matrix_set1_md_mat18,0.1670,0.2500,0.3210,2.513000,-2.507412,1.509628,1.402777,1.375946,0.2500,true,other,,BROKEN,
matrix_set1_md_mat23,matrix_set1_md_mat23,0.1670,0.2500,0.3480,0.785000,-0.588489,1.509628,1.698414,1.624368,0.2500,true,other,,BROKEN,
matrix_set1_md_mat24,matrix_set1_md_mat24,0.1670,0.2500,0.2170,1.739000,-4.890038,1.509628,1.268379,1.219264,0.2500,true,other,,BROKEN,
matrix_set1_md_mat58,matrix_set1_md_mat58,0.1670,0.2500,0.3280,1.573000,-2.084408,1.509628,1.609842,1.548795,0.2500,true,other,,BROKEN,
matrix_set1_md_mat59,matrix_set1_md_mat59,0.1670,0.2500,0.1230,-0.737000,-3.747968,1.509628,1.528632,1.581394,0.2500,true,other,,BROKEN,
matrix_set1_md_mat60,matrix_set1_md_mat60,0.1670,0.2500,0.2260,0.723000,-2.269338,1.509628,1.402777,1.375946,0.2500,true,other,,BROKEN,
matrix_set1_md_mat11,matrix_set1_md_mat11,0.3330,0.2870,0.2000,1.755000,-4.008621,0.802701,0.746633,0.768339,0.2500,true,other,,HARD,
matrix_set1_md_mat13,matrix_set1_md_mat13,0.3330,0.2870,0.2440,2.385000,-3.296950,0.802701,0.767669,0.794664,0.2500,true,other,,HARD,
matrix_set1_md_mat14,matrix_set1_md_mat14,0.3330,0.2870,0.2310,1.536000,-5.431525,0.802701,0.852379,0.861165,0.2500,true,other,,HARD,
matrix_set1_md_mat69,matrix_set1_md_mat69,0.3330,0.2870,0.3850,1.759000,-1.945256,0.802701,0.844133,0.839150,0.2500,true,other,,HARD,
matrix_set1_md_mat19,matrix_set1_md_mat19,0.3330,0.2870,0.4470,2.867000,-1.235135,0.802701,0.799168,0.815816,0.2500,true,other,,HARD,
matrix_set1_md_mat20,matrix_set1_md_mat20,0.3330,0.2870,0.5900,1.889000,-0.066324,0.802701,0.746633,0.768339,0.2500,true,other,,HARD,
matrix_set1_md_mat77,matrix_set1_md_mat77,0.3330,0.2870,0.4610,2.754000,-1.159037,0.802701,0.767669,0.794664,0.2500,true,other,,HARD,
matrix_set1_md_mat65,matrix_set1_md_mat65,0.3330,0.2870,0.4040,-0.367000,-0.539238,0.802701,0.852379,0.861165,0.2500,true,other,,HARD,
matrix_set1_md_mat25,matrix_set1_md_mat25,0.3330,0.2870,0.4190,-0.303000,0.308584,0.802701,0.844133,0.839150,0.2500,true,other,,HARD,
matrix_set1_md_mat26,matrix_set1_md_mat26,0.3330,0.2870,0.2060,-1.328000,-4.550682,0.802701,0.799168,0.815816,0.2500,true,other,,HARD,
matrix_set1_md_mat28,matrix_set1_md_mat28,0.3330,0.2870,0.3250,0.520000,-1.873685,0.802701,0.746633,0.768339,0.2500,true,other,,HARD,
matrix_set1_md_mat32,matrix_set1_md_mat32,0.3330,0.2870,0.2980,0.244000,-1.414807,0.802701,0.767669,0.794664,0.2500,true,other,,HARD,
matrix_set1_md_mat74,matrix_set1_md_mat74,0.3330,0.2870,0.1810,2.237000,-5.111184,0.802701,0.852379,0.861165,0.2500,true,other,,HARD,
matrix_set1_md_mat33,matrix_set1_md_mat33,0.3330,0.2870,0.3530,-0.146000,-1.110665,0.802701,0.844133,0.839150,0.2500,true,other,,HARD,
matrix_set1_md_mat37,matrix_set1_md_mat37,0.3330,0.2870,0.2270,0.558000,-4.210766,0.802701,0.799168,0.815816,0.2500,true,other,,HARD,
matrix_set1_md_mat40,matrix_set1_md_mat40,0.3330,0.2870,0.2420,1.108000,-2.276171,0.802701,0.746633,0.768339,0.2500,true,other,,HARD,
matrix_set1_md_mat79,matrix_set1_md_mat79,0.3330,0.2870,0.2430,1.427000,-2.852544,0.802701,0.767669,0.794664,0.2500,true,other,,HARD,
matrix_set1_md_mat47,matrix_set1_md_mat47,0.3330,0.2870,0.2530,0.959000,-3.566717,0.802701,0.852379,0.861165,0.2500,true,other,,HARD,
matrix_set1_md_mat64,matrix_set1_md_mat64,0.3330,0.2870,0.2690,0.723000,-1.378794,0.802701,0.844133,0.839150,0.2500,true,other,,HARD,
matrix_set1_md_mat9,matrix_set1_md_mat9,0.5000,0.3030,0.5040,0.317000,0.756380,0.759497,0.762279,0.781584,0.2500,true,other,,OK,
matrix_set1_md_mat10,matrix_set1_md_mat10,0.5000,0.3030,0.3790,0.507000,-0.253020,0.759497,0.688466,0.716023,0.2500,true,other,,OK,
matrix_set1_md_mat6,matrix_set1_md_mat6,0.5000,0.3030,0.3270,1.726000,-1.350927,0.759497,0.737068,0.768715,0.2500,true,other,,OK,
matrix_set1_md_mat15,matrix_set1_md_mat15,0.5000,0.3030,0.2610,1.732000,-3.232369,0.759497,0.806087,0.819141,0.2500,true,other,,OK,
matrix_set1_md_mat51,matrix_set1_md_mat51,0.5000,0.3030,0.4070,3.636000,-1.392062,0.759497,0.802300,0.793788,0.2500,true,other,,OK,
matrix_set1_md_mat21,matrix_set1_md_mat21,0.5000,0.3030,0.2620,1.020000,-3.735338,0.759497,0.762279,0.781584,0.2500,true,other,,OK,
matrix_set1_md_mat22,matrix_set1_md_mat22,0.5000,0.3030,0.4980,1.473000,-0.494470,0.759497,0.688466,0.716023,0.2500,true,other,,OK,
matrix_set1_md_mat27,matrix_set1_md_mat27,0.5000,0.3030,0.2150,0.550000,-3.051455,0.759497,0.737068,0.768715,0.2500,true,other,,OK,
matrix_set1_md_mat29,matrix_set1_md_mat29,0.5000,0.3030,0.2450,-0.303000,-1.828948,0.759497,0.806087,0.819141,0.2500,true,other,,OK,
matrix_set1_md_mat30,matrix_set1_md_mat30,0.5000,0.3030,0.3070,0.550000,-0.779568,0.759497,0.802300,0.793788,0.2500,true,other,,OK,
matrix_set1_md_mat73,matrix_set1_md_mat73,0.5000,0.3030,0.3780,1.383000,-2.008545,0.759497,0.762279,0.781584,0.2500,true,other,,OK,
matrix_set1_md_mat31,matrix_set1_md_mat31,0.5000,0.3030,0.2460,0.244000,-4.703101,0.759497,0.688466,0.716023,0.2500,true,other,,OK,
matrix_set1_md_mat35,matrix_set1_md_mat35,0.5000,0.3030,0.2710,0.244000,-1.272525,0.759497,0.737068,0.768715,0.2500,true,other,,OK,
matrix_set1_md_mat39,matrix_set1_md_mat39,0.5000,0.3030,0.2240,0.244000,-2.279859,0.759497,0.806087,0.819141,0.2500,true,other,,OK,
matrix_set1_md_mat76,matrix_set1_md_mat76,0.5000,0.3030,0.2220,1.383000,-3.517527,0.759497,0.802300,0.793788,0.2500,true,other,,OK,
matrix_set1_md_mat34,matrix_set1_md_mat34,0.5000,0.3030,0.2490,1.043000,-4.375093,0.759497,0.762279,0.781584,0.2500,true,other,,OK,
matrix_set1_md_mat72,matrix_set1_md_mat72,0.5000,0.3030,0.2280,0.566000,-2.079907,0.759497,0.688466,0.716023,0.2500,true,other,,OK,
matrix_set1_md_mat36,matrix_set1_md_mat36,0.5000,0.3030,0.2490,-0.394000,-4.101077,0.759497,0.737068,0.768715,0.2500,true,other,,OK,
matrix_set1_md_mat66,matrix_set1_md_mat66,0.5000,0.3030,0.2250,-0.394000,-3.815241,0.759497,0.806087,0.819141,0.2500,true,other,,OK,
matrix_set1_md_mat43,matrix_set1_md_mat43,0.5000,0.3030,0.4570,0.052000,-0.415380,0.759497,0.802300,0.793788,0.2500,true,other,,OK,
matrix_set1_md_mat46,matrix_set1_md_mat46,0.5000,0.3030,0.2200,1.348000,-3.648559,0.759497,0.762279,0.781584,0.2500,true,other,,OK,
matrix_set1_md_mat48,matrix_set1_md_mat48,0.5000,0.3030,0.3190,0.713000,-1.589449,0.759497,0.688466,0.716023,0.2500,true,other,,OK,
matrix_set1_md_mat80,matrix_set1_md_mat80,0.5000,0.3030,0.1800,1.334000,-3.104491,0.759497,0.737068,0.768715,0.2500,true,other,,OK,
matrix_set1_md_mat52,matrix_set1_md_mat52,0.5000,0.3030,0.1470,,-2.629196,0.759497,,,0.2500,false,other,,OK,
matrix_set1_md_mat55,matrix_set1_md_mat55,0.5000,0.3030,0.1290,,-2.902899,0.759497,,,0.2500,false,other,,OK,
matrix_set1_md_mat57,matrix_set1_md_mat57,0.5000,0.3030,0.2320,0.723000,-1.633599,0.759497,0.806087,0.819141,0.2500,true,other,,OK,
matrix_set1_md_mat61,matrix_set1_md_mat61,0.5000,0.3030,0.3360,-0.737000,-0.782583,0.759497,0.802300,0.793788,0.2500,true,other,,OK,
matrix_set1_md_mat63,matrix_set1_md_mat63,0.5000,0.3030,0.2470,0.723000,-3.200938,0.759497,0.762279,0.781584,0.2500,true,other,,OK,
matrix_set1_md_mat62,matrix_set1_md_mat62,0.6670,0.3370,0.4630,0.978000,0.400055,0.697799,0.605397,0.641312,0.2500,true,other,,OK,
matrix_set1_md_mat17,matrix_set1_md_mat17,0.6670,0.3370,0.2750,1.220000,-2.540824,0.697799,0.693368,0.731657,0.2500,true,other,,OK,
matrix_set1_md_mat67,matrix_set1_md_mat67,0.6670,0.3370,0.3750,-0.034000,-0.840213,0.697799,0.739978,0.759127,0.2500,true,other,,OK,
matrix_set1_md_mat75,matrix_set1_md_mat75,0.6670,0.3370,0.2660,1.383000,-3.701707,0.697799,0.742560,0.729008,0.2500,true,other,,OK,
matrix_set1_md_mat42,matrix_set1_md_mat42,0.6670,0.3370,0.2200,0.558000,-2.391063,0.697799,0.709598,0.732698,0.2500,true,other,,OK,
matrix_set1_md_mat45,matrix_set1_md_mat45,0.6670,0.3370,0.2700,1.043000,-1.483461,0.697799,0.605397,0.641312,0.2500,true,other,,OK,
matrix_set1_md_mat78,matrix_set1_md_mat78,0.6670,0.3370,0.2100,-1.870000,-3.491550,0.697799,0.693368,0.731657,0.2500,true,other,,OK,
matrix_set1_md_mat56,matrix_set1_md_mat56,0.6670,0.3370,0.2960,,-1.190197,0.697799,,,0.2500,false,other,,OK,
matrix_set1_md_mat41,matrix_set1_md_mat41,0.8330,0.3660,0.5270,1.043000,1.397468,0.660211,0.699703,0.722565,0.2500,true,other,,OK,
matrix_set1_md_mat44,matrix_set1_md_mat44,0.8330,0.3660,0.2330,2.971000,-4.223511,0.660211,0.706164,0.689542,0.2500,true,other,,OK,
matrix_set1_md_mat50,matrix_set1_md_mat50,0.8330,0.3660,0.2620,0.713000,-2.585797,0.660211,0.677503,0.702915,0.2500,true,other,,OK,
matrix_set1_md_mat53,matrix_set1_md_mat53,0.8330,0.3660,0.2420,1.692000,-1.962114,0.660211,0.554790,0.595796,0.2500,true,other,,OK,
matrix_set1_md_mat4,matrix_set1_md_mat4,1.0000,0.6600,0.7230,-0.668000,2.740096,0.446983,0.515717,0.581010,0.2500,true,other,,CEILING,Choose the best piece to complete the puzzle.
matrix_set1_md_mat2,matrix_set1_md_mat2,1.0000,0.6600,0.7830,-0.741000,3.266821,0.446983,0.471232,0.515158,0.2500,true,other,,CEILING,Choose the best piece to complete the puzzle.
matrix_set1_md_mat5,matrix_set1_md_mat5,1.0000,0.6600,0.8360,-1.301000,4.053145,0.446983,0.499701,0.465662,0.2500,true,other,,CEILING,Choose the best piece to complete the puzzle.
matrix_set1_md_mat7,matrix_set1_md_mat7,1.0000,0.6600,0.7000,-0.543000,2.674114,0.446983,0.495439,0.533965,0.2500,true,other,,CEILING,
matrix_set1_md_mat8,matrix_set1_md_mat8,1.0000,0.6600,0.4210,1.067000,0.437867,0.446983,0.267708,0.337595,0.2500,true,other,,CEILING,
matrix_set1_md_mat71,matrix_set1_md_mat71,1.0000,0.6600,0.4550,0.785000,0.205919,0.446983,0.515717,0.581010,0.2500,true,other,,CEILING,
matrix_set1_md_mat38,matrix_set1_md_mat38,1.0000,0.6600,0.4090,1.043000,1.286886,0.446983,0.471232,0.515158,0.2500,true,other,,CEILING,
matrix_set1_md_mat68,matrix_set1_md_mat68,1.0000,0.6600,0.8780,-0.394000,4.320152,0.446983,0.499701,0.465662,0.2500,true,other,,CEILING,
