item_uid,bank_uid,p_vlm,p_pred_child,p_human,d_bank,d_bench,d_est,d_est_cv,d_est_p_only_cv,chance,anchor,tags,zipf,flag,transcript
vocab_word_claw,vocab__claw,0.0000,0.2500,0.0920,1.220500,-3.682731,14.437920,19.436197,19.548146,0.2500,true,rare_vocab,3.590,BROKEN,the claw
vocab_word_gesticulate,vocab__gesticulate,0.0830,0.4650,0.5640,3.693800,-3.860343,1.615530,1.303236,0.111015,0.2500,true,rare_vocab,1.580,BROKEN,gesticulate
vocab_word_arcade,vocab__arcade,0.2500,0.5520,0.5520,1.162400,-1.835738,0.540733,0.376250,-0.291424,0.2500,true,rare_vocab,3.730,HARD,the arcade
vocab_word_aversion,vocab__aversion,0.2500,0.5520,0.6830,2.166300,-3.485589,0.741058,0.495843,-0.221613,0.2500,true,rare_vocab,3.250,HARD,aversion
vocab_word_couturier,vocab__couturier,0.2500,0.5360,0.9110,2.212700,-3.582168,0.643602,0.685613,-0.098197,0.2500,true,rare_vocab,2.300,HARD,the couturier
vocab_word_aesthete,vocab__aesthete,0.2500,0.5320,0.3980,,-2.864038,0.825256,,,0.2500,false,rare_vocab,1.950,HARD,the aesthete
vocab_word_mammalogy,vocab__mammalogy,0.2500,0.5300,0.6680,2.580100,-3.875851,0.934938,1.152892,1.423501,0.2500,true,rare_vocab,1.730,HARD,mammalogy
vocab_word_resuscitation,vocab__resuscitation,0.2500,0.5470,0.8630,0.766000,-1.395288,0.283770,0.236478,-0.304053,0.2500,true,rare_vocab,2.930,HARD,resuscitation
vocab_word_triad,vocab__triad,0.2500,0.5520,0.6300,2.190400,-0.986640,0.749405,0.682447,-0.291424,0.2500,true,rare_vocab,3.230,HARD,the triad
vocab_word_degression,vocab__degression,0.3330,0.5360,0.4900,1.261000,-1.799525,1.603492,1.998219,-0.143713,0.2500,true,rare_vocab,0.000,HARD,degression
vocab_word_posterior,vocab__posterior,0.3330,0.5670,0.7030,1.267100,-1.773187,0.536384,0.523674,-0.259221,0.2500,true,rare_vocab,3.430,HARD,the posterior
vocab_word_rosette,vocab__rosette,0.3330,0.5560,0.4570,0.327800,-1.091806,0.284702,0.765228,1.119689,0.2500,true,rare_vocab,2.740,HARD,the rosette
vocab_word_corset,vocab__corset,0.4170,0.5670,0.6160,-0.041000,-1.405614,0.703322,0.399466,-0.397607,0.2500,true,rare_vocab,3.030,HARD,the corset
vocab_word_concentric,vocab__concentric,0.4170,0.5600,0.7280,0.289400,-0.891635,0.174987,-0.153187,-0.329855,0.2500,true,rare_vocab,2.920,HARD,concentric
vocab_word_divan,vocab__divan,0.4170,0.5530,0.1130,,,0.398381,,,0.2500,false,rare_vocab,2.530,HARD,the divan
vocab_word_turbine,vocab__turbine,0.5000,0.6040,0.7810,0.188400,-0.128030,0.139406,-0.105175,-0.467205,0.2500,true,rare_vocab,3.630,HARD,the turbine
vocab_word_cormorant,vocab__cormorant,0.5000,0.5840,0.6750,0.228700,-0.729676,0.211946,0.258282,-0.345594,0.2500,true,rare_vocab,2.340,HARD,the cormorant
vocab_word_confectionery,vocab__confectionery,0.5000,0.5950,0.7600,,-2.809550,-0.139740,,,0.2500,false,rare_vocab,2.960,HARD,the confectionery
vocab_word_gourmet,vocab__gourmet,0.5000,0.6040,0.6190,-1.915700,-0.361073,0.252089,0.624312,0.577298,0.2500,true,rare_vocab,3.360,HARD,gourmet
vocab_word_facade,vocab__facade,0.5000,0.6040,0.6210,4.441200,-4.901497,0.227048,0.008939,-0.566968,0.2500,true,rare_vocab,3.420,HARD,the facade
vocab_word_habit,vocab__habit,0.5000,0.6040,0.5030,2.108100,-3.641181,-0.115174,-0.343166,-0.537035,0.2500,true,rare_vocab,4.240,HARD,the habit
vocab_word_precarious,vocab__precarious,0.5000,0.6040,0.3350,0.954600,-2.327559,0.289650,0.111373,-0.467205,0.2500,true,rare_vocab,3.270,HARD,precarious
vocab_word_arbor,vocab__arbor,0.5000,0.6040,0.7150,1.484400,-2.636203,0.197834,0.184242,-0.446132,0.2500,true,rare_vocab,3.490,HARD,the arbor
vocab_word_dredging,vocab__dredging,0.5000,0.6040,0.2320,1.888400,-2.633541,0.352251,0.644767,0.577298,0.2500,true,rare_vocab,3.120,HARD,dredging
vocab_word_artichoke,vocab__artichoke,0.5830,0.6080,0.7290,-0.932400,-0.114664,-0.153027,-0.175919,-0.585105,0.2500,true,rare_vocab,2.730,HARD,the artichoke
vocab_word_tapestry,vocab__tapestry,0.5830,0.6240,0.5640,-0.897900,-0.765572,0.134545,0.115213,-0.629958,0.2500,true,rare_vocab,3.240,HARD,the tapestry
vocab_word_irrigation,vocab__irrigation,0.5830,0.6240,0.6980,1.692300,-3.383400,-0.053259,-0.282173,-0.560120,0.2500,true,rare_vocab,3.690,HARD,the irrigation
vocab_word_paleontologist,vocab__paleontologist,0.5830,0.6050,0.7070,-0.615600,-0.484057,-0.040207,-0.014731,-0.451138,0.2500,true,rare_vocab,2.520,HARD,the paleontologist
vocab_word_suede,vocab__suede,0.5830,0.6240,0.6560,,,0.130372,,,0.2500,false,rare_vocab,3.250,HARD,the suede
vocab_word_turnstile,vocab__turnstile,0.5830,0.6030,0.5560,,-3.467620,0.030844,,,0.2500,false,rare_vocab,2.390,HARD,the turnstile
vocab_word_vertebra,vocab__vertebra,0.5830,0.6090,0.6020,1.186500,-2.051696,-0.178109,0.168934,0.521558,0.2500,true,rare_vocab,2.770,HARD,the vertebra
vocab_word_aloe,vocab__aloe,0.6670,0.6240,0.7170,-0.089000,-1.267218,0.209667,-0.041710,-0.657520,0.2500,true,rare_vocab,3.060,OK,the aloe
vocab_word_artifact,vocab__artifact,0.6670,0.6240,0.7410,-0.675400,-0.513899,0.063597,0.011105,-0.629958,0.2500,true,rare_vocab,3.410,OK,the artifact
vocab_word_beret,vocab__beret,0.6670,0.6120,0.6230,-0.506100,-0.863779,-0.265865,-0.305217,-0.504408,0.2500,true,rare_vocab,2.920,OK,the beret
vocab_word_baywindow,vocab__baywindow,0.6670,0.5880,0.6440,0.785200,-1.544376,1.154675,1.527894,-0.365778,0.2500,true,rare_vocab,0.000,OK,the baywindow
vocab_word_metronome,vocab__metronome,0.6670,0.6060,0.5110,1.011500,-1.807135,-0.090337,0.214908,0.554993,0.2500,true,rare_vocab,2.620,OK,the metronome
vocab_word_saffron,vocab__saffron,0.6670,0.6240,0.6160,1.877600,-3.624423,0.147066,-0.083438,-0.657520,0.2500,true,rare_vocab,3.210,OK,the saffron
vocab_word_skimmer,vocab__skimmer,0.6670,0.6030,0.3330,4.550400,-4.949782,0.009977,-0.194915,-0.532379,0.2500,true,rare_vocab,2.440,OK,the skimmer
vocab_word_sedentary,vocab__sedentary,0.6670,0.6240,0.7990,1.398900,-1.851502,0.176280,0.048664,-0.560120,0.2500,true,rare_vocab,3.140,OK,sedentary
vocab_word_cassette,vocab__cassette,0.7500,0.6240,0.7880,-1.251700,0.317368,0.067770,0.070718,-0.546068,0.2500,true,rare_vocab,3.400,OK,the cassette
vocab_word_kimono,vocab__kimono,0.7500,0.6130,0.5710,-0.630600,-2.025424,-0.286766,0.109374,0.477012,0.2500,true,rare_vocab,2.950,OK,the kimono
vocab_word_prism,vocab__prism,0.7500,0.6240,0.6920,-0.917600,0.972955,0.051077,-0.147420,-0.657520,0.2500,true,rare_vocab,3.440,OK,the prism
vocab_word_sorbet,vocab__sorbet,0.7500,0.6070,0.5370,-0.111000,-0.988042,-0.107076,-0.348252,-0.550996,0.2500,true,rare_vocab,2.640,OK,the sorbet
vocab_word_intersection,vocab__intersection,0.7500,0.6240,0.6350,-0.487900,-0.143297,-0.132555,-0.396462,-0.560120,0.2500,true,rare_vocab,3.880,OK,the intersection
vocab_word_preserve,vocab__preserve,0.7500,0.6240,0.8290,-0.631400,-0.936334,-0.261931,-0.369068,-0.546068,0.2500,true,rare_vocab,4.190,OK,preserve
vocab_word_awning,vocab__awning,0.7500,0.6080,0.7230,-1.318600,0.058995,-0.140507,0.185961,0.532700,0.2500,true,rare_vocab,2.700,OK,the awning
vocab_word_percussion,vocab__percussion,0.7500,0.6240,0.5320,1.927600,-0.872028,0.080291,-0.127947,-0.657520,0.2500,true,rare_vocab,3.370,OK,the percussion
vocab_word_gutter,vocab__gutter,0.8330,0.6240,0.6300,-0.704600,-0.732718,0.076117,0.029477,-0.629958,0.2500,true,rare_vocab,3.380,OK,the gutter
vocab_word_hoe,vocab__hoe,0.8330,0.6240,0.7090,-1.639900,0.659055,0.130372,-0.017503,-0.560120,0.2500,true,rare_vocab,3.250,OK,the hoe
vocab_word_wetland,vocab__wetland,0.8330,0.6240,0.6740,-1.281400,1.447913,0.176280,0.215458,-0.546068,0.2500,true,rare_vocab,3.140,OK,the wetland
vocab_word_ecstatic,vocab__ecstatic,0.8330,0.6240,0.1750,0.514000,-1.306226,0.080291,0.402436,0.354638,0.2500,true,rare_vocab,3.370,OK,ecstatic
vocab_word_rickety,vocab__rickety,0.8330,0.6070,0.6810,-1.779500,0.064349,-0.123770,-0.154462,-0.580572,0.2500,true,rare_vocab,2.680,OK,rickety
vocab_word_colony,vocab__colony,0.8330,0.6240,0.5000,,-2.460010,-0.232717,,,0.2500,false,rare_vocab,4.120,OK,the colony
vocab_word_mischievous,vocab__mischievous,0.8330,0.6240,0.7580,0.287400,-1.161880,0.172106,0.170328,-0.629958,0.2500,true,rare_vocab,3.150,OK,mischievous
